ActiveIngredient_list,dea_active_ingredient_token_count,dea_confident_controlled_match_flag,dea_list_i_only_match_flag,dea_possible_candidate_only_flag,dea_confident_matched_token_count,dea_list_i_token_count,dea_possible_candidate_token_count,dea_confident_match_methods,dea_confident_matched_fda_tokens,dea_confident_substance_names,dea_confident_current_schedules,dea_confident_drug_codes,dea_list_i_substance_names,dea_list_i_drug_codes,dea_possible_candidate_tokens,dea_possible_candidate_substance_names,dea_possible_candidate_methods,dea_unmatched_fda_tokens,dea_edge_case_notes,dea_schedule_scope_note,dea_linkage_status,dea_uncertain_flag
ACORAMIDIS HYDROCHLORIDE,1,False,False,False,0,0,0,,,,,,,,,,,ACORAMIDIS HYDROCHLORIDE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACRIVASTINE; PSEUDOEPHEDRINE HYDROCHLORIDE,2,False,True,False,0,1,0,,,,,,Pseudoephedrine Hydrochloride,8112,,,,ACRIVASTINE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,list_i_chemical_only_match,False
ACYCLOVIR,1,False,False,False,0,0,0,,,,,,,,,,,ACYCLOVIR,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACYCLOVIR SODIUM,1,False,False,False,0,0,0,,,,,,,,,,,ACYCLOVIR SODIUM,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ACYCLOVIR; HYDROCORTISONE,2,False,False,False,0,0,0,,,,,,,,,,,ACYCLOVIR | HYDROCORTISONE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADAGRASIB,1,False,False,False,0,0,0,,,,,,,,,,,ADAGRASIB,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADALIMUMAB,1,False,False,False,0,0,0,,,,,,,,,,,ADALIMUMAB,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADALIMUMAB-AACF,1,False,False,False,0,0,0,,,,,,,,,,,ADALIMUMAB-AACF,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADALIMUMAB-AATY,1,False,False,False,0,0,0,,,,,,,,,,,ADALIMUMAB-AATY,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADALIMUMAB-ADAZ,1,False,False,False,0,0,0,,,,,,,,,,,ADALIMUMAB-ADAZ,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADALIMUMAB-ADBM,1,False,False,False,0,0,0,,,,,,,,,,,ADALIMUMAB-ADBM,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADALIMUMAB-AFZB,1,False,False,False,0,0,0,,,,,,,,,,,ADALIMUMAB-AFZB,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADALIMUMAB-AQVH,1,False,False,False,0,0,0,,,,,,,,,,,ADALIMUMAB-AQVH,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADALIMUMAB-ATTO,1,False,False,False,0,0,0,,,,,,,,,,,ADALIMUMAB-ATTO,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADALIMUMAB-BWWD,1,False,False,False,0,0,0,,,,,,,,,,,ADALIMUMAB-BWWD,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADALIMUMAB-FKJP,1,False,False,False,0,0,0,,,,,,,,,,,ADALIMUMAB-FKJP,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADALIMUMAB-RYVK,1,False,False,False,0,0,0,,,,,,,,,,,ADALIMUMAB-RYVK,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADAPALENE,1,False,False,False,0,0,0,,,,,,,,,,,ADAPALENE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADAPALENE; BENZOYL PEROXIDE,2,False,False,False,0,0,0,,,,,,,,,,,ADAPALENE | BENZOYL PEROXIDE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADAPALENE; BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,3,False,False,False,0,0,0,,,,,,,,,,,ADAPALENE | BENZOYL PEROXIDE | CLINDAMYCIN PHOSPHATE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADEFOVIR DIPIVOXIL,1,False,False,False,0,0,0,,,,,,,,,,,ADEFOVIR DIPIVOXIL,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADENOSINE,1,False,False,False,0,0,0,,,,,,,,,,,ADENOSINE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
ADO-TRASTUZUMAB EMTANSINE,1,False,False,False,0,0,0,,,,,,,,,,,ADO-TRASTUZUMAB EMTANSINE,,Current DEA reference schedules only. Historical scheduling changes are not recovered in this first-pass linkage.,no_dea_signal_from_first_pass,False
