active_ingredient,active_ingredient_norm,possible_controlled_substance,dea_schedule,arcos_merge_notes
TRASTUZUMAB-DTTB,TRASTUZUMAB DTTB,,,
TRASTUZUMAB-PKRB,TRASTUZUMAB PKRB,,,
TRASTUZUMAB-QYYP,TRASTUZUMAB QYYP,,,
TRASTUZUMAB-STRF,TRASTUZUMAB STRF,,,
TRAVOPROST,TRAVOPROST,,,
TRAZODONE HYDROCHLORIDE,TRAZODONE HYDROCHLORIDE,,,
TREMELIMUMAB-ACTL,TREMELIMUMAB ACTL,,,
TREOSULFAN,TREOSULFAN,,,
TREPROSTINIL,TREPROSTINIL,,,
TREPROSTINIL DIOLAMINE,TREPROSTINIL DIOLAMINE,,,
TREPROSTINIL SODIUM,TREPROSTINIL SODIUM,,,
TRETINOIN,TRETINOIN,,,
TRIAMCINOLONE,TRIAMCINOLONE,,,
TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,,,
TRIAMCINOLONE DIACETATE,TRIAMCINOLONE DIACETATE,,,
TRIAMCINOLONE HEXACETONIDE,TRIAMCINOLONE HEXACETONIDE,,,
TRIAMTERENE,TRIAMTERENE,,,
TRIAZOLAM,TRIAZOLAM,,,
TRICHLORMETHIAZIDE,TRICHLORMETHIAZIDE,,,
TRICLABENDAZOLE,TRICLABENDAZOLE,,,
TRICLOSAN,TRICLOSAN,,,
TRIDIHEXETHYL CHLORIDE,TRIDIHEXETHYL CHLORIDE,,,
TRIENTINE HYDROCHLORIDE,TRIENTINE HYDROCHLORIDE,,,
TRIENTINE TETRAHYDROCHLORIDE,TRIENTINE TETRAHYDROCHLORIDE,,,
TRIFAROTENE,TRIFAROTENE,,,
TRIFLUOPERAZINE HYDROCHLORIDE,TRIFLUOPERAZINE HYDROCHLORIDE,,,
TRIFLUPROMAZINE HYDROCHLORIDE,TRIFLUPROMAZINE HYDROCHLORIDE,,,
TRIFLURIDINE,TRIFLURIDINE,,,
TRIHEPTANOIN,TRIHEPTANOIN,,,
TRIHEXYPHENIDYL HYDROCHLORIDE,TRIHEXYPHENIDYL HYDROCHLORIDE,,,
TRILACICLIB DIHYDROCHLORIDE,TRILACICLIB DIHYDROCHLORIDE,,,
TRILOSTANE,TRILOSTANE,,,
TRIMETHADIONE,TRIMETHADIONE,,,
TRIMETHAPHAN CAMSYLATE,TRIMETHAPHAN CAMSYLATE,,,
TRIMETHOBENZAMIDE HYDROCHLORIDE,TRIMETHOBENZAMIDE HYDROCHLORIDE,,,
TRIMETHOPRIM,TRIMETHOPRIM,,,
TRIMETHOPRIM HYDROCHLORIDE,TRIMETHOPRIM HYDROCHLORIDE,,,
TRIMETHOPRIM SULFATE,TRIMETHOPRIM SULFATE,,,
TRIMETREXATE GLUCURONATE,TRIMETREXATE GLUCURONATE,,,
TRIMIPRAMINE MALEATE,TRIMIPRAMINE MALEATE,,,
TRIOXSALEN,TRIOXSALEN,,,
TRIPELENNAMINE CITRATE,TRIPELENNAMINE CITRATE,,,
TRIPELENNAMINE HYDROCHLORIDE,TRIPELENNAMINE HYDROCHLORIDE,,,
TRIPLE SULFA (SULFABENZAMIDE,TRIPLE SULFA SULFABENZAMIDE,,,
TRIPROLIDINE HYDROCHLORIDE,TRIPROLIDINE HYDROCHLORIDE,,,
TRIPTORELIN PAMOATE,TRIPTORELIN PAMOATE,,,
TRISULFAPYRIMIDINES (SULFADIAZINE,TRISULFAPYRIMIDINES SULFADIAZINE,,,
TROFINETIDE,TROFINETIDE,,,
TROGLITAZONE,TROGLITAZONE,,,
TROLAMINE POLYPEPTIDE OLEATE CONDENSATE,TROLAMINE POLYPEPTIDE OLEATE CONDENSATE,,,
TROLEANDOMYCIN,TROLEANDOMYCIN,,,
TROMETHAMINE,TROMETHAMINE,,,
TROPICAMIDE,TROPICAMIDE,,,
TROSPIUM CHLORIDE,TROSPIUM CHLORIDE,,,
TROVAFLOXACIN MESYLATE,TROVAFLOXACIN MESYLATE,,,
TRYPAN BLUE,TRYPAN BLUE,,,
TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE,,,
TUCATINIB,TUCATINIB,,,
TYLOXAPOL,TYLOXAPOL,,,
TYROPANOATE SODIUM,TYROPANOATE SODIUM,,,
Tofacitinib,TOFACITINIB,,,
UBLITUXIMAB-XIIY,UBLITUXIMAB XIIY,,,
UBROGEPANT,UBROGEPANT,,,
ULIPRISTAL ACETATE,ULIPRISTAL ACETATE,,,
UMBRALISIB TOSYLATE,UMBRALISIB TOSYLATE,,,
UMECLIDINIUM BROMIDE,UMECLIDINIUM BROMIDE,,,
UNOPROSTONE ISOPROPYL,UNOPROSTONE ISOPROPYL,,,
UPADACITINIB,UPADACITINIB,,,
URACIL MUSTARD,URACIL MUSTARD,,,
UREA,UREA,,,
UREA C-13,UREA C 13,,,
"UREA, C-14",UREA C 14,,,
URIDINE TRIACETATE,URIDINE TRIACETATE,,,
UROFOLLITROPIN,UROFOLLITROPIN,,,
UROKINASE,UROKINASE,,,
URSODIOL,URSODIOL,,,
USTEKINUMAB,USTEKINUMAB,,,
USTEKINUMAB-AAUZ,USTEKINUMAB AAUZ,,,
USTEKINUMAB-AEKN,USTEKINUMAB AEKN,,,
USTEKINUMAB-AUUB,USTEKINUMAB AUUB,,,
USTEKINUMAB-HMNY,USTEKINUMAB HMNY,,,
USTEKINUMAB-KFCE,USTEKINUMAB KFCE,,,
USTEKINUMAB-SRLF,USTEKINUMAB SRLF,,,
USTEKINUMAB-STBA,USTEKINUMAB STBA,,,
USTEKINUMAB-TTWE,USTEKINUMAB TTWE,,,
VABORBACTAM,VABORBACTAM,,,
VADADUSTAT,VADADUSTAT,,,
VALACYCLOVIR HYDROCHLORIDE,VALACYCLOVIR HYDROCHLORIDE,,,
VALBENAZINE,VALBENAZINE,,,
VALBENAZINE TOSYLATE,VALBENAZINE TOSYLATE,,,
VALDECOXIB,VALDECOXIB,,,
VALGANCICLOVIR HYDROCHLORIDE,VALGANCICLOVIR HYDROCHLORIDE,,,
VALPROATE SODIUM,VALPROATE SODIUM,,,
VALPROIC ACID,VALPROIC ACID,,,
VALRUBICIN,VALRUBICIN,,,
VALSARTAN,VALSARTAN,,,
VAMOROLONE,VAMOROLONE,,,
VANCOMYCIN,VANCOMYCIN,,,
VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN HYDROCHLORIDE,,,
VANDETANIB,VANDETANIB,,,
VANZACAFTOR CALCIUM,VANZACAFTOR CALCIUM,,,
VARDENAFIL HYDROCHLORIDE,VARDENAFIL HYDROCHLORIDE,,,
VARENICLINE,VARENICLINE,,,
VARENICLINE TARTRATE,VARENICLINE TARTRATE,,,
VASOPRESSIN,VASOPRESSIN,,,
VECURONIUM BROMIDE,VECURONIUM BROMIDE,,,
VEDOLIZUMAB,VEDOLIZUMAB,,,
VELAGLUCERASE ALFA,VELAGLUCERASE ALFA,,,
VELMANASE ALFA-TYCV,VELMANASE ALFA TYCV,,,
VELPATASVIR,VELPATASVIR,,,
VEMURAFENIB,VEMURAFENIB,,,
VENETOCLAX,VENETOCLAX,,,
VENLAFAXINE BESYLATE,VENLAFAXINE BESYLATE,,,
VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,,,
VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,,,
VERARD,VERARD,,,
VERICIGUAT,VERICIGUAT,,,
VERTEPORFIN,VERTEPORFIN,,,
VESTRONIDASE ALFA-VJBK,VESTRONIDASE ALFA VJBK,,,
VIBEGRON,VIBEGRON,,,
VIDARABINE,VIDARABINE,,,
VIGABATRIN,VIGABATRIN,,,
VILANTEROL TRIFENATATE,VILANTEROL TRIFENATATE,,,
VILAZODONE HYDROCHLORIDE,VILAZODONE HYDROCHLORIDE,,,
VILOXAZINE HYDROCHLORIDE,VILOXAZINE HYDROCHLORIDE,,,
VILTOLARSEN,VILTOLARSEN,,,
VIMSELTINIB,VIMSELTINIB,,,
VINBLASTINE SULFATE,VINBLASTINE SULFATE,,,
VINCRISTINE SULFATE,VINCRISTINE SULFATE,,,
VINORELBINE TARTRATE,VINORELBINE TARTRATE,,,
VISMODEGIB,VISMODEGIB,,,
VITAMIN A,VITAMIN A,,,
VITAMIN A PALMITATE,VITAMIN A PALMITATE,,,
VITAMIN E,VITAMIN E,,,
VITAMIN K,VITAMIN K,,,
VOCLOSPORIN,VOCLOSPORIN,,,
VONOPRAZAN FUMARATE,VONOPRAZAN FUMARATE,,,
VORAPAXAR SULFATE,VORAPAXAR SULFATE,,,
VORASIDENIB,VORASIDENIB,,,
VORICONAZOLE,VORICONAZOLE,,,
VORINOSTAT,VORINOSTAT,,,
VORTIOXETINE,VORTIOXETINE,,,
VORTIOXETINE HYDROBROMIDE,VORTIOXETINE HYDROBROMIDE,,,
VOSORITIDE,VOSORITIDE,,,
VOXELOTOR,VOXELOTOR,,,
VOXILAPREVIR,VOXILAPREVIR,,,
VUTRISIRAN SODIUM,VUTRISIRAN SODIUM,,,
WARFARIN SODIUM,WARFARIN SODIUM,,,
WHITE PETROLATUM,WHITE PETROLATUM,,,
XANOMELINE TARTRATE,XANOMELINE TARTRATE,,,
XENON XE-127,XENON XE 127,,,
XENON XE-129 HYPERPOLARIZED,XENON XE 129 HYPERPOLARIZED,,,
XENON XE-133,XENON XE 133,,,
XYLOSE,XYLOSE,,,
ZAFIRLUKAST,ZAFIRLUKAST,,,
ZALCITABINE,ZALCITABINE,,,
ZALEPLON,ZALEPLON,,,
ZANAMIVIR,ZANAMIVIR,,,
ZANIDATAMAB-HRII,ZANIDATAMAB HRII,,,
ZANUBRUTINIB,ZANUBRUTINIB,,,
ZAVEGEPANT HYDROCHLORIDE,ZAVEGEPANT HYDROCHLORIDE,,,
ZENOCUTUZUMAB-ZBCO,ZENOCUTUZUMAB ZBCO,,,
ZICONOTIDE ACETATE,ZICONOTIDE ACETATE,,,
ZIDOVUDINE,ZIDOVUDINE,,,
ZIFTOMENIB,ZIFTOMENIB,,,
ZILEUTON,ZILEUTON,,,
ZILUCOPLAN SODIUM,ZILUCOPLAN SODIUM,,,
ZINC ACETATE,ZINC ACETATE,,,
ZINC CHLORIDE,ZINC CHLORIDE,,,
ZINC OXIDE,ZINC OXIDE,,,
ZINC SULFATE,ZINC SULFATE,,,
"ZINC SULFATE HEPTAHYDRATE, CUPRIC SULFATE, MANGANESE SULFATE, SELENIOUS ACID",ZINC SULFATE HEPTAHYDRATE CUPRIC SULFATE MANGANESE SULFATE SELENIOUS ACID,,,
ZIPRASIDONE HYDROCHLORIDE,ZIPRASIDONE HYDROCHLORIDE,,,
ZIPRASIDONE MESYLATE,ZIPRASIDONE MESYLATE,,,
ZIV-AFLIBERCEPT,ZIV AFLIBERCEPT,,,
ZOLBETUXIMAB-CLZB,ZOLBETUXIMAB CLZB,,,
ZOLEDRONIC ACID,ZOLEDRONIC ACID,,,
ZOLIFLODACIN,ZOLIFLODACIN,,,
ZOLMITRIPTAN,ZOLMITRIPTAN,,,
ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,,,
ZONGERTINIB,ZONGERTINIB,,,
ZONISAMIDE,ZONISAMIDE,,,
ZURANOLONE,ZURANOLONE,,,
Zidovudine,ZIDOVUDINE,,,
abobotulinumtoxinA,ABOBOTULINUMTOXINA,,,
axatilimab-csfr,AXATILIMAB CSFR,,,
brolucizumab-dbll,BROLUCIZUMAB DBLL,,,
denosumab-desu,DENOSUMAB DESU,,,
incobotulinumtoxinA,INCOBOTULINUMTOXINA,,,
islelizumab-jsgr,ISLELIZUMAB JSGR,,,
nogapendekin alfa inbakicept-pmln,NOGAPENDEKIN ALFA INBAKICEPT PMLN,,,
